Cluster's Name                ;Const;Coordinates (J2000.0) ;Wavel ;Type ;Dia_arcM;Dst_pc;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
Alessi 9                      ;Ara  ;17 45 10.8 -47 11 06.0;Op    ;OC   ;  106.80;   218; 0.100; 8.550;MWSC 2670, COCD 410                                                                                               ;
NGC 6416                      ;Sco  ;17 44 22.1 -32 21 54.0;Op    ;OC   ;   28.80;   767; 0.230; 8.200;MWSC 2673                                                                                                         ;
NGC 6421                      ;Sco  ;17 45 14.0 -33 41 12.1;Op    ;OC   ;   45.00;  1505; 1.260; 8.230;MWSC 2678                                                                                                         ;
Cam OB1                       ;Cam  ;03 22 30   +58 57 20  ;Op    ;OB   ;  157.00;   980;      ;      ;MWSC 268                                                                                                          ;Very large multicenter association
Collinder 347                 ;Sgr  ;17 46 22.8 -29 19 30.0;Op    ;OC   ;   15.60;  1852; 1.440; 6.600;MWSC 2688                                                                                                         ;
IC 4665                       ;Oph  ;17 46 15.6 +05 41 42.0;Op    ;OC   ;   84.00;   352; 0.170; 7.630;MWSC 2689                                                                                                         ;
Collinder 350                 ;Oph  ;17 48 12.5 +01 21 36.0;Op    ;OC   ;   66.00;   302; 0.300; 8.710;MWSC 2700                                                                                                         ;
ASCC 91                       ;Sco  ;17 48 50.4 -37 22 12.0;Op    ;OC   ;   26.40;   858; 0.100; 8.650;MWSC 2702                                                                                                         ;
NGC 6437                      ;Sco  ;17 49 00.0 -35 51 06.1;Op    ;OC   ;   40.00;   943; 0.710; 8.300;MWSC 2704                                                                                                         ;
Collinder 351                 ;Sgr  ;17 49 02.2 -28 44 42.0;Op    ;OC   ;   20.40;  1700; 0.770; 9.000;MWSC 2705                                                                                                         ;
Ruprecht 131                  ;Sgr  ;17 49 12.0 -29 14 06.0;Op    ;OC   ;   19.80;   614; 0.100; 9.170;MWSC 2706                                                                                                         ;
Sgr OB5                       ;Sgr  ;17 50 27   -29 31 30  ;Op    ;OB   ;  324.00;      ;      ;      ;MWSC 2716, Ass-1                                                                                                  ;Large multicenter association
ASCC 92                       ;SerCd;17 51 07.2 -11 52 48.0;Op    ;OC   ;   27.60;   644; 0.310; 9.080;MWSC 2723, Alessi 31                                                                                              ;
Basel 5                       ;Sco  ;17 52 30.0 -30 06 18.0;Op    ;OC   ;   24.00;   995; 0.340; 8.850;MWSC 2727                                                                                                         ;
Sco OB5                       ;Sco  ;17 52 26.4 -38 38 06.0;Op    ;OB   ;   37.20;  2695; 0.460; 6.330;MWSC 2729, [ME95] Cl 5, Alessi 80 AB, COCD 418, Ass-68.1                                                          ;
NGC 6469                      ;Sgr  ;17 53 13.2 -22 18 54.0;Op    ;OC   ;   28.20;   690; 0.330; 8.880;MWSC 2735                                                                                                         ;
NGC 6475                      ;Sco  ;17 53 45.6 -34 46 48.0;Op    ;OC   ;   84.00;   303; 0.220; 8.250;MWSC 2739, M 7                                                                                                    ;
Melotte 20                    ;Per  ;03 26 42.0 +48 48 00  ;Op    ;OC   ;  732.00;   175; 0.090; 7.700;MWSC 274, Per OB 3                                                                                                ;
ASCC 10                       ;Per  ;03 27 03.6 +35 01 48.0;Op    ;OC   ;   63.60;   700; 0.100; 8.720;MWSC 275, Alessi-Teutsch 9                                                                                        ;
NGC 6494                      ;Sgr  ;17 56 54.5 -19 00 00.0;Op    ;OC   ;   66.00;   648; 0.440; 8.520;MWSC 2757, M 23                                                                                                   ;
Trumpler 31                   ;Sgr  ;17 59 43.7 -28 12 25.2;Op    ;OC   ;   19.80;   830; 0.480; 8.640;MWSC 2769                                                                                                         ;
King 6                        ;Cam  ;03 28 02.9 +56 27 54.0;Op    ;OC   ;   31.20;   632; 0.300; 8.980;MWSC 277                                                                                                          ;
Collinder 359                 ;Oph  ;18 00 28.8 +02 52 30.0;Op    ;OCR? ;   96.00;   640; 0.160; 7.450;MWSC 2773, Melotte 186                                                                                            ;Suggested as OCR by van Albada (1968)
Ruprecht 139                  ;Sgr  ;18 00 59.3 -23 32 06.0;Op    ;OC   ;   18.60;   593; 0.100; 9.050;MWSC 2776                                                                                                         ;
Alessi 13                     ;For  ;03 28 04.8 -35 52 12.0;Op    ;OC   ;  381.60;   112; 0.020; 8.720;MWSC 278, COCD 44, Harrington 2, Slotegraaf 3                                                                     ;
Bochum 14                     ;Sgr  ;18 01 59.5 -23 42 18.0;Op    ;OC   ;   20.00;   538; 1.850; 7.100;MWSC 2781                                                                                                         ;
NGC 6514                      ;Sgr  ;18 02 34.8 -22 59 42.0;Op    ;OC   ;   31.80;  1093; 0.330; 6.900;MWSC 2789, M 20, Trifid neb Cl, Sgr I, Sgr T1                                                                     ;
NGC 1333                      ;Per  ;03 28 55.2 +31 22 12.0;Op    ;OC   ;   68.40;   324; 1.240; 6.800;MWSC 279                                                                                                          ;
ESO 139-54                    ;Pav  ;18 04 37.2 -58 31 30.0;Op    ;OCR? ;   13.80;   985; 0.100; 8.990;MWSC 2799                                                                                                         ;
[LAL96] 1                     ;Per  ;03 29 00   +31 16 15  ;IR    ;OC   ;    9.00;   320;      ;      ;MWSC 280, NGC 1333SW Cl, [BDS2003] 133, HH 7-11 Cl, SSV 13 Cl                                                     ;
Sgr OB1 C                     ;Sgr  ;18 03 18   -22 42 00  ;Op    ;OB   ;   60.00;  1440;      ;      ;MWSC 2803                                                                                                         ;
Sgr OB1 A                     ;Sgr  ;18 04 36   -24 17 00  ;Op    ;OB   ;   54.00;  1520;      ;      ;MWSC 2803                                                                                                         ;
[LAL96] 2                     ;Per  ;03 29 10   +31 21 45  ;IR    ;OC   ;    8.00;   320;      ;      ;MWSC 281, NGC 1333NE Cl, [BDS2003] 132                                                                            ;
NGC 6546                      ;Sgr  ;18 07 30.0 -23 19 30.0;Op    ;OC   ;   24.60;   938; 0.490; 8.720;MWSC 2812                                                                                                         ;
ASCC 93                       ;Sgr  ;18 08 09.6 -22 16 48.0;Op    ;OC   ;   19.80;  1830; 0.580; 6.100;MWSC 2814                                                                                                         ;
Dol-Dzim 9                    ;Her  ;18 08 47.3 +31 33 18.0;Op    ;OCR  ;   17.40;  2626; 0.170; 9.390;MWSC 2818                                                                                                         ;
Collinder 367                 ;Sgr  ;18 09 37.7 -23 42 00.0;Op    ;OC   ;   37.80;  1170; 0.570; 7.300;MWSC 2828, Sgr OB 1 B, Sgr III, Sgr T3                                                                            ;
NGC 1342                      ;Per  ;03 32 01.0 +37 21 25.2;Op    ;OC   ;   33.00;   665; 0.330; 8.600;MWSC 283                                                                                                          ;
Sgr OB6                       ;Sgr  ;18 11 31.9 -16 00 00.0;Op    ;OB   ;   37.20;  1594; 0.900; 7.500;MWSC 2837, Ass-69.1                                                                                               ;
ASCC 11                       ;Per  ;03 32 16.8 +44 50 24.0;Op    ;OC   ;   49.20;   837; 0.270; 8.350;MWSC 284, TC 0332+4450, Santa 33                                                                                  ;
NGC 6568                      ;Sgr  ;18 12 43.2 -21 36 00.0;Op    ;OC   ;   31.90;   861; 0.390; 8.800;MWSC 2841                                                                                                         ;
FSR 632                       ;Cam  ;03 32 34.8 +59 12 36.0;IR    ;OC   ;   18.60;  1037; 0.690; 8.350;MWSC 285                                                                                                          ;
Sgr OB7                       ;Sgr  ;18 14 52.8 -20 19 12.0;Op    ;OB   ;   57.60;  1481; 0.460; 6.450;MWSC 2853, COCD 435, Ass-69.2                                                                                     ;
ASCC 94                       ;SerCd;18 15 36.0 -14 58 30.0;Op    ;OC   ;   32.40;   731; 0.250; 8.840;MWSC 2858                                                                                                         ;
Sgr OB4                       ;Sgr  ;18 15 40   -18 57 40  ;Op    ;OB   ;  102.00;  1850;      ;      ;MWSC 2859, Ass-4                                                                                                  ;
ASCC 95                       ;Sgr  ;18 16 02.9 -25 42 18.0;Op    ;OC   ;   28.20;  1213; 0.250; 8.410;MWSC 2861                                                                                                         ;
Collinder 469                 ;Sgr  ;18 16 30.2 -18 18 00.0;Op    ;OC   ;   16.20;  1277; 1.150; 8.000;MWSC 2865                                                                                                         ;
[BDS2003] 9                   ;Sgr  ;18 17 04   -19 51 54  ;Op    ;OC   ;    4.00;   600;      ; 6.5  ;MWSC 2868, NGC 6595 IR Cl, IRAS 18138-1954 Cl                                                                     ;Log t is lower limit
Trumpler 32                   ;SerCd;18 17 11.3 -13 19 48.0;Op    ;OC   ;   44.40;  1623; 0.770; 8.800;MWSC 2873, Harvard 19                                                                                             ;
NGC 6596                      ;Sgr  ;18 17 31.2 -16 39 00  ;Op    ;OC   ;   24.00;   932; 0.170; 8.600;MWSC 2874                                                                                                         ;
NGC 6604                      ;SerCd;18 18 01.7 -12 14 16.8;Op    ;OC   ;   31.80;  1895; 0.970; 6.890;MWSC 2878                                                                                                         ;
Ser OB2                       ;SerCd;18 18 14   -12 10 40  ;Op    ;OB   ;   78.00;  2050;      ;      ;MWSC 2880, Ass-9                                                                                                  ;
FSR 145                       ;Her  ;18 18 20.9 +29 06 36.0;IR    ;OCR  ;   36.60;  1607; 0.250; 9.190;MWSC 2881                                                                                                         ;
Alessi 19                     ;Oph  ;18 19 07.7 +12 11 42.0;Op    ;OC   ;   57.60;   550; 0.040; 7.900;MWSC 2887, LeDrew 5, COCD 442                                                                                     ;
ASCC 96                       ;Sgr  ;18 20 04.1 -32 21 36.0;Op    ;OC   ;   21.60;   759; 0.150; 8.400;MWSC 2893, Ferrero 1                                                                                              ;
NGC 6618                      ;Sgr  ;18 20 34.8 -16 09 00  ;Op    ;OC   ;   34.80;  1308; 1.610; 6.000;MWSC 2896, M 17                                                                                                   ;
Ser OB1 A                     ;Sgr  ;18 20 48   -16 38 00  ;Op    ;OB   ;   72.00;  1500;      ;      ;MWSC 2897                                                                                                         ;
Mamajek 4                     ;Tel  ;18 26 07.7 -50 57 18.0;Op    ;OC   ;   66.00;   386; 0.050; 8.820;MWSC 2914, Alessi 71                                                                                              ;
NGC 6633                      ;Oph  ;18 27 20.4 +06 30 00.0;Op    ;OC   ;   43.80;   385; 0.180; 8.760;MWSC 2917                                                                                                         ;
NGC 6639                      ;Sct  ;18 30 57.6 -13 08 24.0;Op    ;OC   ;   20.40;   765; 0.250; 8.930;MWSC 2934                                                                                                         ;
IC 4725                       ;Sgr  ;18 31 42.5 -19 06 36.0;Op    ;OC   ;   45.60;   561; 0.480; 7.970;MWSC 2940, M 25                                                                                                   ;
Sct OB2                       ;Sct  ;18 35 15   -09 01 00  ;Op    ;OB   ;  420.00;      ;      ;      ;MWSC 2959, Ass-12                                                                                                 ;Multicenter association
NGC 6656                      ;Sgr  ;18 36 24.0 -23 54 18.0;Op    ;GC   ;   42.60;  3198; 0.340;10.100;MWSC 2961, M 22                                                                                                   ;
ASCC 97                       ;Sgr  ;18 36 54.0 -19 13 12.0;Op    ;OC   ;   40.80;   591; 0.440; 7.880;MWSC 2963, Alessi 40                                                                                              ;
IC 4756                       ;SerCd;18 38 56.4 +05 27 00.0;Op    ;OC   ;   96.00;   483; 0.210; 8.790;MWSC 2967, Graff 1                                                                                                ;
ASCC 98                       ;Sgr  ;18 42 39.6 -33 39 00  ;Op    ;OC   ;   56.40;   800; 0.040; 8.050;MWSC 2979                                                                                                         ;
Alessi-Teutsch 10             ;Tau  ;03 44 33   +29 41 42  ;Op    ;**   ;   23.00;      ;      ;      ;MWSC 299, Alessi 23                                                                                               ;
[BDSB2003] 10                 ;Aql  ;18 46 19.9 -03 47 42.0;IR    ;OC   ;    9.60;   818; 1.670; 7.600;MWSC 2991                                                                                                         ;
ASCC 99                       ;Sgr  ;18 49 06.5 -18 44 24.0;Op    ;OC   ;   27.60;   679; 0.130; 8.750;MWSC 2999, LeDrew 1, COCD 13, Casado 1, Saloranta-Holmstrom 1, TC 0053+4934, Santa 21                             ;
Ruprecht 145                  ;Sgr  ;18 50 38.4 -18 13 37.2;Op    ;OCR? ;   28.80;   770; 0.250; 8.900;MWSC 3005                                                                                                         ;
NGC 6705                      ;Sct  ;18 50 59.3 -06 16 48.0;Op    ;OC   ;   42.00;  1750; 0.470; 8.510;MWSC 3008, M 11                                                                                                   ;
NGC 6709                      ;Aql  ;18 51 23.0 +10 19 48.0;Op    ;OC   ;   26.40;  1075; 0.280; 8.150;MWSC 3009                                                                                                         ;
IC 348                        ;Per  ;03 44 36.5 +32 09 00  ;Op    ;OC   ;   31.20;   480; 1.050; 6.780;MWSC 301, IC 348a, IC 1985, Gingrich 1, Cr 41, OCl-409, [BDS2003] 139, Per II, Per T2                             ;
Collinder 394                 ;Sgr  ;18 52 19.2 -20 12 00.0;Op    ;OC   ;   36.00;   668; 0.240; 7.860;MWSC 3011                                                                                                         ;
Stephenson 1                  ;Lyr  ;18 54 03.6 +36 48 18.0;Op    ;OC   ;   66.00;   373; 0.030; 7.520;MWSC 3018, Delta Lyr Cl                                                                                           ;
NGC 6716                      ;Sgr  ;18 54 34.1 -19 53 06.0;Op    ;OC   ;   21.60;   669; 0.230; 7.390;MWSC 3020                                                                                                         ;
Alessi 62                     ;Her  ;18 55 51.6 +21 37 08.4;Op    ;OC   ;   32.40;   546; 0.170; 8.950;MWSC 3025                                                                                                         ;
NGC 6738                      ;Aql  ;19 01 20.9 +11 36 00.0;Op    ;OC   ;   16.80;   686; 0.210; 9.520;MWSC 3035                                                                                                         ;
ASCC 100                      ;Lyr  ;19 01 37.2 +33 34 30.0;Op    ;OC   ;   43.80;   350; 0.020; 7.950;MWSC 3038                                                                                                         ;
Coronet Cl                    ;CrA  ;19 01 54   -36 57 10  ;IR    ;OC   ;    9.00;   150;      ; 6.240;MWSC 3041, R CrA Cl, [BDS2003] 275, CrA I, CrA T1                                                                 ;
Pleiades                      ;Tau  ;03 46 01.2 +24 22 12.0;Op    ;OC   ;  744.00;   130; 0.020; 8.150;MWSC 305, M 45, Melotte 22, Escorial 1, [KVO2004] 16, Tau R1                                                      ;
NGC 6755                      ;Aql  ;19 07 49.0 +04 16 01.2;Op    ;OC   ;   23.40;  2010; 2.440; 8.000;MWSC 3051                                                                                                         ;
Tombaugh 5                    ;Cam  ;03 48 03.6 +59 04 12.0;Op    ;OC   ;   32.40;  1350; 0.550; 8.850;MWSC 306                                                                                                          ;
NGC 6752                      ;Pav  ;19 10 51.8 -59 59 06.0;Op    ;GC   ;   50.40;  4002; 0.040;10.100;MWSC 3062                                                                                                         ;
Berkeley 82                   ;Aql  ;19 11 20.4 +13 05 45.6;Op    ;OC   ;   16.80;  1125; 0.920; 8.060;MWSC 3065                                                                                                         ;
Per OB2                       ;Per  ;03 51 01.7 +35 06 00.0;Op    ;OB   ;  384.00;   400; 0.200; 7.360;MWSC 307                                                                                                          ;
ASCC 101                      ;Lyr  ;19 13 24.5 +36 20 06.0;Op    ;OC   ;   60.00;   363; 0.000; 8.620;MWSC 3070, LeDrew 6                                                                                               ;
NGC 6774                      ;Sgr  ;19 16 22.1 -16 15 00.0;Op    ;OC   ;  159.60;   270; 0.110; 9.330;MWSC 3078, Ruprecht 147, [KVO2004] 2                                                                              ;
NGC 6793                      ;Vul  ;19 23 17.8 +22 08 24.0;Op    ;OC   ;   26.40;   724; 0.310; 8.700;MWSC 3098                                                                                                         ;
ASCC 2                        ;Cas  ;00 19 30.0 +55 38 42.0;Op    ;OC   ;   26.40;  2301; 0.500; 8.870;MWSC 31                                                                                                           ;
King 25                       ;Aql  ;19 24 29.8 +13 42 00.0;Op    ;OC   ;   20.40;  1796; 1.330; 8.450;MWSC 3113                                                                                                         ;
ASCC 102                      ;Cyg  ;19 24 41.3 +29 57 36.0;Op    ;OC   ;   19.80;  1500; 0.000; 8.890;MWSC 3115                                                                                                         ;
Collinder 399                 ;Vul  ;19 25 24.0 +20 10 59.9;Op    ;**   ;   89.00;      ;      ;      ;MWSC 3118, Al Sufi's Cl, Coathanger, Brocchi's Cl                                                                 ;
NGC 6795                      ;Aql  ;19 26 22   +03 30 54  ;Op    ;OC   ;    8.00;  1320; 0.450; 8.980;MWSC 3122                                                                                                         ;
FSR 133                       ;Aql  ;19 29 44.9 +15 33 10.8;IR    ;OC   ;   31.20;  2814; 2.190; 8.420;MWSC 3130, SAI 128                                                                                                ;
Stock 1                       ;Vul  ;19 35 49.2 +25 10 30.0;Op    ;OC   ;   42.00;   350; 0.170; 8.540;MWSC 3140                                                                                                         ;
ASCC 103                      ;Cyg  ;19 36 18.0 +35 39 36.0;Op    ;OC   ;   33.60;   841; 0.000; 8.390;MWSC 3141, Teutsch 35                                                                                             ;
FSR 148                       ;Vul  ;19 37 28.1 +21 18 54.0;IR    ;OC   ;   16.80;   941; 1.660; 6.000;MWSC 3145                                                                                                         ;
ASCC 104                      ;Sge  ;19 38 58.1 +18 39 54.0;Op    ;OC   ;   48.00;   774; 0.330; 7.710;MWSC 3147                                                                                                         ;
NGC 6815                      ;Vul  ;19 40 44.0 +26 45 29.9;Op    ;OC   ;   30.00;  2024; 1.100; 8.180;MWSC 3154                                                                                                         ;
ASCC 105                      ;Vul  ;19 41 33.6 +27 22 58.8;Op    ;OC   ;   56.40;   494; 0.100; 7.910;MWSC 3157                                                                                                         ;
ASCC 106                      ;Aql  ;19 43 19.2 +01 37 12.0;Op    ;OC   ;   62.40;   525; 0.310; 8.420;MWSC 3164, Alessi 44                                                                                              ;
Vul OB1                       ;Vul  ;19 44 02   +23 54 38  ;Op    ;OB   ;  180.00;  2540;      ;      ;MWSC 3167, Ass-13                                                                                                 ;Multicenter association
Turner 9                      ;Cyg  ;19 44 49.2 +29 15 36.0;Op    ;OC   ;   66.60;   852; 0.150; 8.030;MWSC 3168, COCD 466, SU Cyg Cl                                                                                    ;
Roslund 1                     ;Sge  ;19 45 07.2 +17 30 36.0;Op    ;OC   ;   16.20;   788; 0.050; 8.770;MWSC 3169                                                                                                         ;
Roslund 2                     ;Vul  ;19 45 16.1 +23 54 00  ;Op    ;OC   ;   21.60;  1668; 0.900; 6.780;MWSC 3173                                                                                                         ;
ASCC 107                      ;Vul  ;19 48 25.2 +21 57 28.8;Op    ;OC   ;   20.40;   672; 0.200; 8.050;MWSC 3185                                                                                                         ;
Vul OB4                       ;Vul  ;19 46 20   +24 15 00  ;Op    ;OB   ;   72.00;  1210;      ;      ;MWSC 3189, Ass-14                                                                                                 ;Large multicenter association
NGC 6828                      ;Aql  ;19 50 14.9 +07 54 18.0;Op    ;OC   ;   25.80;   603; 0.170; 8.250;MWSC 3190                                                                                                         ;
ASCC 108                      ;Cyg  ;19 53 49.2 +39 24 00  ;Op    ;OCR  ;   16.80;  1039; 0.050; 8.430;MWSC 3201                                                                                                         ;Poor RDP
ASCC 109                      ;Cyg  ;19 54 05.3 +34 32 42.0;Op    ;OC   ;   40.80;   479; 0.000; 8.130;MWSC 3202                                                                                                         ;
King 7                        ;Per  ;03 59 06.7 +51 46 55.2;Op    ;OC   ;   42.00;  2628; 1.250; 8.850;MWSC 321                                                                                                          ;
Roslund 3                     ;Sge  ;19 58 38.9 +20 30 50.4;Op    ;OC   ;   16.80;  1582; 0.320; 7.700;MWSC 3213                                                                                                         ;
Kronberger 68                 ;Cyg  ;20 00 36.0 +30 34 37.2;Op    ;OC   ;   10.80;   977; 2.020; 8.540;MWSC 3220                                                                                                         ;
Dolidze 36                    ;Cyg  ;20 02 27.6 +42 09 54.0;Op    ;OCR  ;   13.20;   970; 0.210; 8.920;MWSC 3231                                                                                                         ;Poor RDP
ASCC 110                      ;Cyg  ;20 02 56.4 +33 34 12.0;Op    ;OC   ;   27.60;   852; 0.150; 8.550;MWSC 3234                                                                                                         ;
Alessi 10                     ;Aql  ;20 04 43.7 -10 29 06.0;Op    ;OC   ;   27.00;   513; 0.220; 8.200;MWSC 3242, Alessi J2004.6-1030, LeDrew 3, COCD 474                                                                ;
Roslund 4                     ;Vul  ;20 04 54.0 +29 13 01.2;Op    ;OC   ;   22.20;  2096; 0.910; 6.600;MWSC 3246, IC 4955 IR Cl, [DB2001] 3, [BDS2003] 34                                                                ;
Cam OB3                       ;Cam  ;04 00 46.8 +56 27 00.0;Op    ;OB   ;   79.20;  2801; 2.110; 7.110;MWSC 325                                                                                                          ;
Dol-Dzim 10                   ;Cyg  ;20 05 51.6 +40 32 24.0;Op    ;OC   ;    8.40;  2394; 0.480; 9.100;MWSC 3252                                                                                                         ;van Wulfen found nothing in MWSC's DoDz 10 coordinates
NGC 6871                      ;Cyg  ;20 06 00.0 +35 46 12.0;Op    ;OC   ;   31.20;  1791; 0.420; 6.990;MWSC 3253                                                                                                         ;
Cyg OB3 B                     ;Cyg  ;20 08 24   +36 31 00  ;Op    ;OB   ;   48.00;  2310;      ;      ;MWSC 3256                                                                                                         ;
Cyg OB3 A                     ;Cyg  ;20 07 06   +35 40 00  ;Op    ;OB   ;   78.00;  1820;      ;      ;MWSC 3256                                                                                                         ;
[BDS2003] 145                 ;Tau  ;04 02 01   +25 24 19  ;IR    ;OC?  ;  180.00;      ;      ;      ;MWSC 326, LDN 1501 T St Gr                                                                                        ;
Roslund 5                     ;Cyg  ;20 10 22.8 +33 46 48.0;Op    ;OC   ;   49.80;   508; 0.060; 7.570;MWSC 3272                                                                                                         ;
ASCC 111                      ;Cyg  ;20 11 06.0 +37 27 54.0;Op    ;OB?  ;   57.60;  1580; 0.390; 6.650;MWSC 3274                                                                                                         ;B-association
NGC 6882                      ;Vul  ;20 11 47.8 +26 48 36.0;Op    ;OC   ;   27.00;   432; 0.060; 8.200;MWSC 3278                                                                                                         ;
FSR 174                       ;Vul  ;20 11 58.8 +28 18 36.0;IR    ;OC   ;   13.80;   831; 1.250; 7.500;MWSC 3279                                                                                                         ;
Cyg OB8                       ;Cyg  ;20 13 57   +40 56 00  ;Op    ;OB   ;  408.00;      ;      ;      ;MWSC 3289                                                                                                         ;Large multicenter association
FSR 219                       ;Cyg  ;20 15 03.6 +41 11 06.0;IR    ;OC   ;   15.00;   884; 0.830; 6.500;MWSC 3290                                                                                                         ;
ASCC 112                      ;Cyg  ;20 16 22.8 +52 05 52.8;Op    ;OC   ;   27.60;   569; 0.080; 8.150;MWSC 3295, Alessi-Teutsch 11, Alessi 46                                                                           ;
Melotte 227                   ;Oct  ;20 16 48.0 -79 02 24.0;Op    ;OCR  ;   39.60;  2218; 0.060; 9.700;MWSC 3299                                                                                                         ;Old loose cluster, poor RDP
Collinder 419                 ;Cyg  ;20 18 07.2 +40 43 30.0;Op    ;OC   ;   24.00;   871; 0.310; 7.100;MWSC 3305                                                                                                         ;
Cyg OB1                       ;Cyg  ;20 18 24   +37 46 00  ;Op    ;OB   ;  270.00;      ;      ;      ;MWSC 3308                                                                                                         ;Large multicenter association
Dolidze 5 b                   ;Cyg  ;20 20 08.4 +39 19 12.0;Op    ;OC   ;   15.60;   969; 0.520; 8.100;MWSC 3315                                                                                                         ;
Alessi 11                     ;Del  ;20 21 16.1 +18 23 24.0;Op    ;OCR  ;   18.60;  2973; 0.420; 9.090;MWSC 3321                                                                                                         ;
Cyg OB9                       ;Cyg  ;20 22 09   +39 55 00  ;Op    ;OB   ;  144.00;      ;      ;      ;MWSC 3322                                                                                                         ;Large multicenter association
Collinder 421                 ;Cyg  ;20 23 08.9 +41 41 42.0;Op    ;OC   ;   25.20;   758; 0.310; 9.080;MWSC 3328                                                                                                         ;
[HR91] 1                      ;Cyg  ;20 27 23   +37 22 50  ;IR    ;OC   ;    3.40;   600;      ;      ;MWSC 3344, Sh2-106 IR Cl, AFGL 2584 Cl, [BDS2003] 39                                                              ;
Roslund 6                     ;Cyg  ;20 28 33.6 +39 12 18.0;Op    ;OC   ;   32.40;   544; 0.060; 8.670;MWSC 3348                                                                                                         ;
NGC 6939                      ;Cep  ;20 31 31.7 +60 39 36.0;Op    ;OC   ;   38.40;  1800; 0.310; 9.270;MWSC 3357                                                                                                         ;
FSR 236                       ;Cyg  ;20 32 36.5 +41 26 24.0;IR    ;OC   ;   21.60;   901; 1.170; 8.200;MWSC 3362                                                                                                         ;
Cyg OB2                       ;Cyg  ;20 33 16.1 +41 19 12.0;Op    ;OB   ;   51.00;  1593; 1.830; 6.720;MWSC 3364, COCD 490                                                                                               ;
Kronberger 59                 ;Cyg  ;20 33 49.9 +40 06 54.0;Op    ;OC   ;    9.00;   844; 0.830; 8.000;MWSC 3367                                                                                                         ;
NGC 6940                      ;Vul  ;20 34 26.4 +28 16 48.0;Op    ;OC   ;   48.00;   844; 0.210; 8.980;MWSC 3370                                                                                                         ;
[BDS2003] 57                  ;Cyg  ;20 39 00   +42 19 35  ;IR    ;OC   ;    3.20;   690;      ; 6.300;MWSC 3388, W 75S IR Cl, DR 21 IR Cl                                                                               ;
FSR 251                       ;Cyg  ;20 40 24.5 +42 57 00.0;IR    ;OC   ;   14.40;   857; 1.040; 8.700;MWSC 3391                                                                                                         ;
Mayer 1                       ;Cas  ;00 22 03.4 +61 44 27.6;Op    ;OC   ;   13.80;  1430; 0.500; 7.740;MWSC 34                                                                                                           ;
Alessi 12                     ;Vul  ;20 43 22.8 +23 47 06.0;Op    ;OC   ;   57.00;   543; 0.080; 7.460;MWSC 3404, LeDrew 2, COCD 492                                                                                     ;
Dol-Dzim 11                   ;Cyg  ;20 51 06.7 +35 56 42.0;Op    ;OC   ;   10.20;  4873; 0.500; 9.200;MWSC 3415                                                                                                         ;
Roslund 7                     ;Cyg  ;20 52 22.8 +37 54 00  ;Op    ;OC   ;   33.60;   736; 0.200; 8.600;MWSC 3416                                                                                                         ;
Barkhatova 1                  ;Cyg  ;20 53 43.7 +46 01 30.0;Op    ;OC   ;   20.40;   912; 0.310; 8.720;MWSC 3422                                                                                                         ;
FSR 261                       ;Cyg  ;20 53 47.3 +43 06 54.0;IR    ;OC   ;   21.60;   852; 1.400; 8.280;MWSC 3423                                                                                                         ;
NGC 6991 A                    ;Cyg  ;20 54 27.4 +47 27 57.6;Op    ;OC   ;   53.40;   565; 0.130; 9.060;MWSC 3426, JH J2054+4719                                                                                          ;
NGC 6991 B                    ;Cyg  ;20 54 54.0 +47 25 00.1;Op    ;OC   ;   25.00;   700; 0.000; 9.110;MWSC 3427, WH J2055+4726                                                                                          ;
NGC 1502                      ;Cam  ;04 07 49.7 +62 19 51.6;Op    ;OC   ;   36.00;  1023; 0.630; 7.080;MWSC 343                                                                                                          ;
NGC 6997                      ;Cyg  ;20 56 31.2 +44 36 36.0;Op    ;OC   ;   24.00;   741; 0.690; 8.900;MWSC 3432                                                                                                         ;
NGC 6994                      ;Aqr  ;20 58 55   -12 38 00  ;Op    ;**   ;    9.00;      ;      ;      ;MWSC 3441, M 73                                                                                                   ;
Collinder 428                 ;Cyg  ;21 03 04.3 +44 33 36.0;Op    ;OC   ;   13.20;  1185; 0.720; 8.860;MWSC 3455                                                                                                         ;
[BDS2003] 73                  ;Cyg  ;21 04 06.5 +50 15 00.0;IR    ;OC   ;   13.80;   700; 1.880; 6.670;MWSC 3460, FSR 292, LDN 988-e IR Cl                                                                               ;
Cyg OB7                       ;Cyg  ;21 05 33   +48 39 30  ;Op    ;OB   ;  840.00;      ;      ;      ;MWSC 3467                                                                                                         ;Very large multicenter association
NGC 7039                      ;Cyg  ;21 11 03.1 +45 43 58.8;Op    ;OC   ;   34.80;  1550; 0.220; 8.660;MWSC 3474                                                                                                         ;
ASCC 113                      ;Cyg  ;21 12 01.7 +38 36 36.0;Op    ;OC   ;   39.60;   501; 0.000; 7.930;MWSC 3480                                                                                                         ;
Cyg OB4                       ;Cyg  ;21 14 16.8 +37 52 48.0;Op    ;OB   ;   40.80;  2471; 1.670; 7.560;MWSC 3486                                                                                                         ;
Basel 15                      ;Cyg  ;21 15 54.7 +48 51 10.8;Op    ;OCR? ;   13.80;   701; 2.170; 8.600;MWSC 3488                                                                                                         ;
Chereul 3                     ;Aqr  ;21 20 12.0 +02 12 54.0;Op    ;MG   ; 1600.00;    89;      ;      ;MWSC 3496, Pegasus 2                                                                                              ;
